horizon,model,library,rmse
15,XGBoostSeq,dl_univariate,177.70776373064288
7,XGBoostSeq,dl_univariate,177.70776373064288
30,XGBoostSeq,dl_univariate,177.70776373064288
7,XGBoostSeq,dl_multivariate,183.1055693134246
15,XGBoostSeq,dl_multivariate,183.1055693134246
30,XGBoostSeq,dl_multivariate,183.1055693134246
7,RecursiveTabular,autogluon_internal,370.74966639370695
7,AutoARIMA,statsforecast,384.1460929255869
7,ETS,autogluon_internal,387.0047019622835
7,Naive,autogluon_internal,392.5966961522155
7,Theta,autogluon_internal,407.13587288146005
30,DirectTabular,autogluon_internal,416.7309839237931
30,BiLSTM,dl_univariate,427.7344844407047
7,BiLSTM,dl_univariate,427.7344844407047
15,BiLSTM,dl_univariate,427.7344844407047
15,DirectTabular,autogluon_internal,432.91705387726523
15,BiLSTM,dl_multivariate,440.2353220080904
30,BiLSTM,dl_multivariate,440.2353220080904
7,BiLSTM,dl_multivariate,440.2353220080904
7,DirectTabular,autogluon_internal,445.443957938461
7,SeasonalNaive,autogluon_internal,445.9162958880611
7,arima,flaml,468.9031852411877
7,xgb_limitdepth,flaml,470.0342209993181
7,WeightedEnsemble,autogluon_timeseries,477.8376363997184
30,original/XGBoost,classical,490.4590982271799
7,original/XGBoost,classical,490.4590982271799
15,original/XGBoost,classical,490.4590982271799
30,RecursiveTabular,autogluon_internal,491.0169118969208
15,original/RandomForest,classical,503.52020827694616
30,original/RandomForest,classical,503.52020827694616
7,original/RandomForest,classical,503.52020827694616
15,RecursiveTabular,autogluon_internal,532.7701311227909
30,ETS,autogluon_internal,568.6163778495358
30,AutoARIMA,statsforecast,575.302783595467
30,WeightedEnsemble,autogluon_timeseries,577.0136997324711
30,Naive,autogluon_internal,584.3462705597499
30,Theta,autogluon_internal,587.0014407382566
15,original/ExpSmoothing,classical,598.8975533680803
30,original/ExpSmoothing,classical,598.8975533680803
7,original/ExpSmoothing,classical,598.8975533680803
15,WeightedEnsemble,autogluon_timeseries,603.2194508197326
15,ETS,autogluon_internal,619.5324637395845
15,AutoARIMA,statsforecast,622.5293275200232
15,Theta,autogluon_internal,628.3184881670112
15,Naive,autogluon_internal,632.0083049393616
30,SeasonalNaive,autogluon_internal,636.9888418062053
30,original/ARIMA,classical,642.7282158911842
7,original/ARIMA,classical,642.7282158911842
15,original/ARIMA,classical,642.7282158911842
30,arima,flaml,681.1361908260644
15,SeasonalNaive,autogluon_internal,682.7618606611999
15,arima,flaml,728.54783770815
15,xgb_limitdepth,flaml,826.5193924206347
30,AttentionForecaster,dl_multivariate,914.0792965311566
15,AttentionForecaster,dl_multivariate,914.0792965311566
7,AttentionForecaster,dl_multivariate,914.0792965311566
30,xgb_limitdepth,flaml,1065.531766491196
15,Transformer,dl_univariate,1187.9664796928603
7,Transformer,dl_univariate,1187.9664796928603
30,Transformer,dl_univariate,1187.9664796928603
7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,1229.9575227981022
15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,1229.9575227981022
30,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,1229.9575227981022
7,AttentionForecaster,dl_univariate,2183.4535023112503
30,AttentionForecaster,dl_univariate,2183.4535023112503
15,AttentionForecaster,dl_univariate,2183.4535023112503
7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,2340.5807837249995
15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,2340.5807837249995
30,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,2340.5807837249995
7,Transformer,dl_multivariate,2470.8515991437152
30,Transformer,dl_multivariate,2470.8515991437152
15,Transformer,dl_multivariate,2470.8515991437152
30,decomposition+model/ExpSmoothing,classical,6972.040521470555
15,decomposition+model/ExpSmoothing,classical,6972.040521470555
7,decomposition+model/ExpSmoothing,classical,6972.040521470555
7,decomposition+model/ARIMA,classical,6977.781851881181
15,decomposition+model/ARIMA,classical,6977.781851881181
30,decomposition+model/ARIMA,classical,6977.781851881181
15,decomposition+model/RandomForest,classical,6995.223834582122
30,decomposition+model/RandomForest,classical,6995.223834582122
7,decomposition+model/RandomForest,classical,6995.223834582122
30,decomposition+model/XGBoost,classical,7033.00141531296
7,decomposition+model/XGBoost,classical,7033.00141531296
15,decomposition+model/XGBoost,classical,7033.00141531296
30,decomposition+model/LSTM,classical,8814.909583487639
15,decomposition+model/LSTM,classical,8814.909583487639
7,decomposition+model/LSTM,classical,8814.909583487639
7,original/LSTM,classical,9458.892466235377
15,original/LSTM,classical,9458.892466235377
30,original/LSTM,classical,9458.892466235377
